"","model","scenario","year","tmean_annual"
"102","CanESM5","ssp585",2056,14.5350730359745
"103","CanESM5","ssp585",2057,14.8037683677859
"104","CanESM5","ssp585",2058,15.8347630848099
"105","CanESM5","ssp585",2059,15.2618188494317
"106","CanESM5","ssp585",2060,15.3803878205385
"107","CanESM5","ssp585",2061,15.2637340220542
"108","CanESM5","ssp585",2062,15.8382943245428
"109","CanESM5","ssp585",2063,14.9096655251485
"110","CanESM5","ssp585",2064,15.859823869277
"111","CanESM5","ssp585",2065,16.9928962595123
"112","CanESM5","ssp585",2066,15.1339335942523
"113","CanESM5","ssp585",2067,16.1752802943226
"114","CanESM5","ssp585",2068,16.7852418666601
"115","CanESM5","ssp585",2069,15.6972585008705
"116","CanESM5","ssp585",2070,16.133797954269
"117","CanESM5","ssp585",2071,16.130023529555
"118","CanESM5","ssp585",2072,17.1113309220772
"119","CanESM5","ssp585",2073,16.8635604093675
"120","CanESM5","ssp585",2074,16.9533758611207
"121","IPSL-CM6A-LR","ssp245",2045,12.6022545201812
"122","IPSL-CM6A-LR","ssp245",2046,12.7216767434232
"123","IPSL-CM6A-LR","ssp245",2047,12.3734379059554
"124","IPSL-CM6A-LR","ssp245",2048,11.1643926651837
"125","IPSL-CM6A-LR","ssp245",2049,11.5296061137093
"126","IPSL-CM6A-LR","ssp245",2050,11.6286962841462
"127","IPSL-CM6A-LR","ssp245",2051,11.2428633908345
"128","IPSL-CM6A-LR","ssp245",2052,12.008428865958
"129","IPSL-CM6A-LR","ssp245",2053,11.1753751904289
"130","IPSL-CM6A-LR","ssp245",2054,11.6438172517102
"131","IPSL-CM6A-LR","ssp245",2055,12.6909437192011
"132","IPSL-CM6A-LR","ssp245",2056,12.384482215588
"133","IPSL-CM6A-LR","ssp245",2057,12.0477405684231
"134","IPSL-CM6A-LR","ssp245",2058,12.1943377566739
"135","IPSL-CM6A-LR","ssp245",2059,11.1651423209502
"136","IPSL-CM6A-LR","ssp245",2060,10.9347989367767
"137","IPSL-CM6A-LR","ssp245",2061,11.7685088489566
"138","IPSL-CM6A-LR","ssp245",2062,11.8365376050427
"139","IPSL-CM6A-LR","ssp245",2063,12.3207191773593
"140","IPSL-CM6A-LR","ssp245",2064,12.5241758188831
"141","IPSL-CM6A-LR","ssp245",2065,11.7822302764172
"142","IPSL-CM6A-LR","ssp245",2066,11.3047884303976
"143","IPSL-CM6A-LR","ssp245",2067,12.3671974575099
"144","IPSL-CM6A-LR","ssp245",2068,13.2437373890297
"145","IPSL-CM6A-LR","ssp245",2069,12.6355207996137
"146","IPSL-CM6A-LR","ssp245",2070,13.207891402845
"147","IPSL-CM6A-LR","ssp245",2071,12.020859921253
"148","IPSL-CM6A-LR","ssp245",2072,11.7438226390838
"149","IPSL-CM6A-LR","ssp245",2073,12.2209622652791
"150","IPSL-CM6A-LR","ssp245",2074,12.199460635116
"151","IPSL-CM6A-LR","ssp585",2045,11.2051306586911
"152","IPSL-CM6A-LR","ssp585",2046,11.6413309262575
"153","IPSL-CM6A-LR","ssp585",2047,11.3577438463053
"154","IPSL-CM6A-LR","ssp585",2048,12.3272851907569
"155","IPSL-CM6A-LR","ssp585",2049,11.5075212933846
"156","IPSL-CM6A-LR","ssp585",2050,13.2482688523124
"157","IPSL-CM6A-LR","ssp585",2051,11.4660309292311
"158","IPSL-CM6A-LR","ssp585",2052,12.6060247638547
"159","IPSL-CM6A-LR","ssp585",2053,12.4477230680858
"160","IPSL-CM6A-LR","ssp585",2054,13.8976654981432
"161","IPSL-CM6A-LR","ssp585",2055,12.757058404058
"162","IPSL-CM6A-LR","ssp585",2056,13.0267654255703
"163","IPSL-CM6A-LR","ssp585",2057,13.1233394462712
"164","IPSL-CM6A-LR","ssp585",2058,12.8932603476647
"165","IPSL-CM6A-LR","ssp585",2059,12.3927437114437
"166","IPSL-CM6A-LR","ssp585",2060,12.3498101351269
"167","IPSL-CM6A-LR","ssp585",2061,13.0526018139389
"168","IPSL-CM6A-LR","ssp585",2062,14.2204307169165
"169","IPSL-CM6A-LR","ssp585",2063,12.6333481884985
"170","IPSL-CM6A-LR","ssp585",2064,14.3720750285433
"171","IPSL-CM6A-LR","ssp585",2065,13.8125424627958
"172","IPSL-CM6A-LR","ssp585",2066,12.740740536229
"173","IPSL-CM6A-LR","ssp585",2067,15.1414006922017
"174","IPSL-CM6A-LR","ssp585",2068,13.3671458661322
"175","IPSL-CM6A-LR","ssp585",2069,13.6170288001479
"176","IPSL-CM6A-LR","ssp585",2070,14.7387946853099
"177","IPSL-CM6A-LR","ssp585",2071,14.0856591350958
"178","IPSL-CM6A-LR","ssp585",2072,14.1700756076777
"179","IPSL-CM6A-LR","ssp585",2073,15.1115967846899
"180","IPSL-CM6A-LR","ssp585",2074,14.2883366148551
"181","MPI-ESM1-2-LR","ssp245",2045,11.1660920471161
"182","MPI-ESM1-2-LR","ssp245",2046,9.42762200505405
"183","MPI-ESM1-2-LR","ssp245",2047,11.5437148854732
"184","MPI-ESM1-2-LR","ssp245",2048,9.96258278845351
"185","MPI-ESM1-2-LR","ssp245",2049,10.564880095893
"186","MPI-ESM1-2-LR","ssp245",2050,10.7425758677639
"187","MPI-ESM1-2-LR","ssp245",2051,12.0130927246101
"188","MPI-ESM1-2-LR","ssp245",2052,11.7709263031366
"189","MPI-ESM1-2-LR","ssp245",2053,9.90294481274108
"190","MPI-ESM1-2-LR","ssp245",2054,11.2192702915292
"191","MPI-ESM1-2-LR","ssp245",2055,11.1889602315174
"192","MPI-ESM1-2-LR","ssp245",2056,11.3216792218008
"193","MPI-ESM1-2-LR","ssp245",2057,10.8917860629783
"194","MPI-ESM1-2-LR","ssp245",2058,10.6004355340296
"195","MPI-ESM1-2-LR","ssp245",2059,10.7544676688818
"196","MPI-ESM1-2-LR","ssp245",2060,11.7868108821771
"197","MPI-ESM1-2-LR","ssp245",2061,11.770509697543
"198","MPI-ESM1-2-LR","ssp245",2062,11.7764691449255
"199","MPI-ESM1-2-LR","ssp245",2063,10.3795552942585
"200","MPI-ESM1-2-LR","ssp245",2064,12.0575538413773
"201","MPI-ESM1-2-LR","ssp245",2065,11.4242134304491
"202","MPI-ESM1-2-LR","ssp245",2066,11.0580549674898
"203","MPI-ESM1-2-LR","ssp245",2067,10.6463005129633
"204","MPI-ESM1-2-LR","ssp245",2068,10.6104822278465
"205","MPI-ESM1-2-LR","ssp245",2069,10.2428904944143
"206","MPI-ESM1-2-LR","ssp245",2070,11.6174559852693
"207","MPI-ESM1-2-LR","ssp245",2071,11.0211587034439
"208","MPI-ESM1-2-LR","ssp245",2072,10.9417530846762
"209","MPI-ESM1-2-LR","ssp245",2073,11.3342494662759
"210","MPI-ESM1-2-LR","ssp245",2074,12.1252597505422
"211","MPI-ESM1-2-LR","ssp585",2045,13.7772258242413
"212","MPI-ESM1-2-LR","ssp585",2046,10.8868142211796
"213","MPI-ESM1-2-LR","ssp585",2047,9.22006670530537
