"","Year","n_months","value","Season","Variable","start_year","period_start"
"416",2012,5,126.222602685894,"Growing","ppt_mm",1940,2010
"417",2013,5,397.468143322074,"Growing","ppt_mm",1940,2010
"418",2014,5,468.379554508075,"Growing","ppt_mm",1940,2010
"419",2015,5,484.621818251593,"Growing","ppt_mm",1940,2015
"420",2016,5,385.594351315058,"Growing","ppt_mm",1940,2015
"421",2017,5,402.985366280973,"Growing","ppt_mm",1940,2015
"422",2018,5,541.320577955785,"Growing","ppt_mm",1940,2015
"423",2019,5,630.443179523414,"Growing","ppt_mm",1940,2015
"424",2020,5,348.930830566758,"Growing","ppt_mm",1940,2020
"425",2021,5,329.364660954786,"Growing","ppt_mm",1940,2020
"426",2022,5,275.081278951384,"Growing","ppt_mm",1940,2020
"427",2023,5,498.777991781587,"Growing","ppt_mm",1940,2020
"428",2024,5,309.723133767529,"Growing","ppt_mm",1940,2020
"429",2025,5,497.651789093072,"Growing","ppt_mm",1940,2025
"430",1941,7,206.485712490921,"NonGrowing","ppt_mm",1940,1940
"431",1942,7,238.971510932472,"NonGrowing","ppt_mm",1940,1940
"432",1943,7,119.416325120513,"NonGrowing","ppt_mm",1940,1940
"433",1944,7,207.808883009571,"NonGrowing","ppt_mm",1940,1940
"434",1945,7,162.265460363106,"NonGrowing","ppt_mm",1940,1945
"435",1946,7,105.832881038583,"NonGrowing","ppt_mm",1940,1945
"436",1947,7,219.269457561348,"NonGrowing","ppt_mm",1940,1945
"437",1948,7,143.579590254671,"NonGrowing","ppt_mm",1940,1945
"438",1949,7,227.637731020134,"NonGrowing","ppt_mm",1940,1945
"439",1950,7,155.442336987217,"NonGrowing","ppt_mm",1940,1950
"440",1951,7,123.495791849366,"NonGrowing","ppt_mm",1940,1950
"441",1952,7,159.18160575264,"NonGrowing","ppt_mm",1940,1950
"442",1953,7,185.37997456279,"NonGrowing","ppt_mm",1940,1950
"443",1954,7,153.591245780881,"NonGrowing","ppt_mm",1940,1950
"444",1955,7,107.646899322986,"NonGrowing","ppt_mm",1940,1955
"445",1956,7,99.5052106950306,"NonGrowing","ppt_mm",1940,1955
"446",1957,7,167.813072735078,"NonGrowing","ppt_mm",1940,1955
"447",1958,7,202.197087642596,"NonGrowing","ppt_mm",1940,1955
"448",1959,7,113.787015770872,"NonGrowing","ppt_mm",1940,1955
"449",1960,7,199.168672441005,"NonGrowing","ppt_mm",1940,1960
"450",1961,7,120.836237472868,"NonGrowing","ppt_mm",1940,1960
"451",1962,7,109.822807843223,"NonGrowing","ppt_mm",1940,1960
"452",1963,7,127.954554568954,"NonGrowing","ppt_mm",1940,1960
"453",1964,7,156.240179373886,"NonGrowing","ppt_mm",1940,1960
"454",1965,7,79.8710881764097,"NonGrowing","ppt_mm",1940,1965
"455",1966,7,138.266930925558,"NonGrowing","ppt_mm",1940,1965
"456",1967,7,84.6771686536689,"NonGrowing","ppt_mm",1940,1965
"457",1968,7,138.131164263231,"NonGrowing","ppt_mm",1940,1965
"458",1969,7,138.384389534885,"NonGrowing","ppt_mm",1940,1965
"459",1970,7,192.612358493946,"NonGrowing","ppt_mm",1940,1970
"460",1971,7,214.770041202984,"NonGrowing","ppt_mm",1940,1970
"461",1972,7,159.004070773327,"NonGrowing","ppt_mm",1940,1970
"462",1973,7,222.35632622087,"NonGrowing","ppt_mm",1940,1970
"463",1974,7,159.257946374636,"NonGrowing","ppt_mm",1940,1970
"464",1975,7,130.215675210549,"NonGrowing","ppt_mm",1940,1975
"465",1976,7,176.325171186263,"NonGrowing","ppt_mm",1940,1975
"466",1977,7,224.784661209185,"NonGrowing","ppt_mm",1940,1975
"467",1978,7,206.220089012922,"NonGrowing","ppt_mm",1940,1975
"468",1979,7,168.260116951966,"NonGrowing","ppt_mm",1940,1975
"469",1980,7,188.789722386867,"NonGrowing","ppt_mm",1940,1980
"470",1981,7,111.461921481043,"NonGrowing","ppt_mm",1940,1980
"471",1982,7,162.763416099008,"NonGrowing","ppt_mm",1940,1980
"472",1983,7,242.697059994764,"NonGrowing","ppt_mm",1940,1980
"473",1984,7,244.363212489762,"NonGrowing","ppt_mm",1940,1980
"474",1985,7,167.417150911257,"NonGrowing","ppt_mm",1940,1985
"475",1986,7,205.297298003831,"NonGrowing","ppt_mm",1940,1985
"476",1987,7,208.296932611647,"NonGrowing","ppt_mm",1940,1985
"477",1988,7,174.533489882137,"NonGrowing","ppt_mm",1940,1985
"478",1989,7,64.5156085048795,"NonGrowing","ppt_mm",1940,1985
"479",1990,7,122.05387943483,"NonGrowing","ppt_mm",1940,1990
"480",1991,7,160.882925373592,"NonGrowing","ppt_mm",1940,1990
"481",1992,7,193.305576761648,"NonGrowing","ppt_mm",1940,1990
"482",1993,7,188.900931689585,"NonGrowing","ppt_mm",1940,1990
"483",1994,7,160.991946403591,"NonGrowing","ppt_mm",1940,1990
"484",1995,7,239.677441603814,"NonGrowing","ppt_mm",1940,1995
"485",1996,7,142.114832168455,"NonGrowing","ppt_mm",1940,1995
"486",1997,7,125.988638107631,"NonGrowing","ppt_mm",1940,1995
"487",1998,7,163.758432920615,"NonGrowing","ppt_mm",1940,1995
"488",1999,7,264.418597202725,"NonGrowing","ppt_mm",1940,1995
"489",2000,7,113.53547000571,"NonGrowing","ppt_mm",1940,2000
"490",2001,7,271.572893579821,"NonGrowing","ppt_mm",1940,2000
"491",2002,7,116.483378785937,"NonGrowing","ppt_mm",1940,2000
"492",2003,7,183.86442800846,"NonGrowing","ppt_mm",1940,2000
"493",2004,7,154.016168663626,"NonGrowing","ppt_mm",1940,2000
"494",2005,7,238.526528602588,"NonGrowing","ppt_mm",1940,2005
"495",2006,7,184.276287527016,"NonGrowing","ppt_mm",1940,2005
"496",2007,7,271.091871765174,"NonGrowing","ppt_mm",1940,2005
"497",2008,7,178.430810704761,"NonGrowing","ppt_mm",1940,2005
"498",2009,7,268.460649786516,"NonGrowing","ppt_mm",1940,2005
"499",2010,7,253.50648128728,"NonGrowing","ppt_mm",1940,2010
"500",2011,7,196.45930466762,"NonGrowing","ppt_mm",1940,2010
"501",2012,7,215.127744742775,"NonGrowing","ppt_mm",1940,2010
"502",2013,7,120.196006971359,"NonGrowing","ppt_mm",1940,2010
"503",2014,7,147.810184413102,"NonGrowing","ppt_mm",1940,2010
"504",2015,7,157.516976804497,"NonGrowing","ppt_mm",1940,2015
"505",2016,7,300.507363625166,"NonGrowing","ppt_mm",1940,2015
"506",2017,7,215.794409459487,"NonGrowing","ppt_mm",1940,2015
"507",2018,7,202.476665152811,"NonGrowing","ppt_mm",1940,2015
"508",2019,7,275.253432985135,"NonGrowing","ppt_mm",1940,2015
"509",2020,7,169.90306468198,"NonGrowing","ppt_mm",1940,2020
"510",2021,7,186.634063757963,"NonGrowing","ppt_mm",1940,2020
"511",2022,7,128.053535603614,"NonGrowing","ppt_mm",1940,2020
"512",2023,7,158.209985305369,"NonGrowing","ppt_mm",1940,2020
"513",2024,7,270.669238359586,"NonGrowing","ppt_mm",1940,2020
"514",2025,7,130.607995842692,"NonGrowing","ppt_mm",1940,2025
