"","model","year","tmean_annual"
"127","CanESM5",2011,9.66785786836319
"128","CanESM5",2012,10.1752767679466
"129","CanESM5",2013,10.0487131253494
"130","CanESM5",2014,10.6472324344552
"131","IPSL-CM6A-LR",1950,8.53837357158262
"132","IPSL-CM6A-LR",1951,9.09513962819331
"133","IPSL-CM6A-LR",1952,7.46029199350478
"134","IPSL-CM6A-LR",1953,8.45904551044768
"135","IPSL-CM6A-LR",1954,8.38509767288911
"136","IPSL-CM6A-LR",1955,8.69002571783497
"137","IPSL-CM6A-LR",1956,8.17724911257632
"138","IPSL-CM6A-LR",1957,9.42811927007577
"139","IPSL-CM6A-LR",1958,7.56469851773125
"140","IPSL-CM6A-LR",1959,8.56748490158266
"141","IPSL-CM6A-LR",1960,7.95878589674247
"142","IPSL-CM6A-LR",1961,8.64645370363649
"143","IPSL-CM6A-LR",1962,8.15337073693638
"144","IPSL-CM6A-LR",1963,8.58680076220962
"145","IPSL-CM6A-LR",1964,9.05765640498293
"146","IPSL-CM6A-LR",1965,7.25468054278634
"147","IPSL-CM6A-LR",1966,8.80681758047088
"148","IPSL-CM6A-LR",1967,7.62580636397516
"149","IPSL-CM6A-LR",1968,7.942460752863
"150","IPSL-CM6A-LR",1969,8.79863102190855
"151","IPSL-CM6A-LR",1970,8.86429051931416
"152","IPSL-CM6A-LR",1971,8.61421166963197
"153","IPSL-CM6A-LR",1972,7.53181146545288
"154","IPSL-CM6A-LR",1973,9.77142805015191
"155","IPSL-CM6A-LR",1974,8.56205290030568
"156","IPSL-CM6A-LR",1975,9.413909686631
"157","IPSL-CM6A-LR",1976,8.97411451516987
"158","IPSL-CM6A-LR",1977,8.81955961946713
"159","IPSL-CM6A-LR",1978,8.23064183404949
"160","IPSL-CM6A-LR",1979,8.24600644905378
"161","IPSL-CM6A-LR",1980,6.92624423489106
"162","IPSL-CM6A-LR",1981,8.26314646922968
"163","IPSL-CM6A-LR",1982,8.55304620310278
"164","IPSL-CM6A-LR",1983,8.62364257818804
"165","IPSL-CM6A-LR",1984,8.97532219538166
"166","IPSL-CM6A-LR",1985,8.75807742198015
"167","IPSL-CM6A-LR",1986,10.2611898887852
"168","IPSL-CM6A-LR",1987,8.85598177856675
"169","IPSL-CM6A-LR",1988,8.76777954747589
"170","IPSL-CM6A-LR",1989,8.64871209895795
"171","IPSL-CM6A-LR",1990,9.96897126961623
"172","IPSL-CM6A-LR",1991,8.11800942529289
"173","IPSL-CM6A-LR",1992,9.48327573045925
"174","IPSL-CM6A-LR",1993,8.33466298206933
"175","IPSL-CM6A-LR",1994,7.84329458667642
"176","IPSL-CM6A-LR",1995,9.55344119838132
"177","IPSL-CM6A-LR",1996,10.2611475662868
"178","IPSL-CM6A-LR",1997,9.29362363890155
"179","IPSL-CM6A-LR",1998,9.20945399779519
"180","IPSL-CM6A-LR",1999,9.01118403517085
"181","IPSL-CM6A-LR",2000,9.54193723584838
"182","IPSL-CM6A-LR",2001,9.19742453156402
"183","IPSL-CM6A-LR",2002,8.38681930319824
"184","IPSL-CM6A-LR",2003,10.0444515897144
"185","IPSL-CM6A-LR",2004,10.9311857281023
"186","IPSL-CM6A-LR",2005,10.0998988829483
"187","IPSL-CM6A-LR",2006,8.65695150943399
"188","IPSL-CM6A-LR",2007,10.9000377787386
"189","IPSL-CM6A-LR",2008,8.95050489999994
"190","IPSL-CM6A-LR",2009,9.91205498980177
"191","IPSL-CM6A-LR",2010,10.225244073659
"192","IPSL-CM6A-LR",2011,9.87555750264262
"193","IPSL-CM6A-LR",2012,9.77430036435292
"194","IPSL-CM6A-LR",2013,8.91000021517353
"195","IPSL-CM6A-LR",2014,10.982346149714
"196","MPI-ESM1-2-LR",1950,9.05203938616156
