ID,date,ppt_mm,tmean_C
1,1940-01-01,12.918785740269962,-10.978055535280337
1,1940-02-01,10.315699197852524,-2.3519909864036492
1,1940-03-01,36.87633592818102,2.5110946715287006
1,1940-04-01,58.290049783096876,7.647851894137144
1,1940-05-01,14.646164222484582,14.55185553893746
1,1940-06-01,69.67909148598295,20.89152381734557
1,1940-07-01,38.16021096037328,25.730334086546023
1,1940-08-01,29.603138485170856,22.132886309698872
1,1940-09-01,25.966092073821933,20.055257784057993
1,1940-10-01,30.835947758656445,13.38530502445895
1,1940-11-01,17.45339535572667,0.0060221184556150656
1,1940-12-01,22.558823880287154,-1.3259917673115955
1,1941-01-01,17.6824586668956,-3.338453294873598
1,1941-02-01,11.738340885625348,-2.5349130336114047
1,1941-03-01,22.69571689825084,0.8048709246616353
1,1941-04-01,83.52102904547829,9.169974168625073
1,1941-05-01,56.01373788814123,17.09746085513122
1,1941-06-01,97.76193424190065,19.355275164924006
1,1941-07-01,71.08389052943924,23.225744821170366
1,1941-08-01,36.72791980978608,23.009752814599025
1,1941-09-01,89.79261655651975,16.953671514180463
1,1941-10-01,49.89222891620142,10.016133738974684
1,1941-11-01,5.47552750674033,3.971849790356394
1,1941-12-01,17.57415316689562,-1.010185559831748
1,1942-01-01,4.587910421773485,-4.28226783369864
1,1942-02-01,25.459628719501712,-4.457879116431698
1,1942-03-01,37.09789603699763,1.9387681308885618
1,1942-04-01,98.88416616436122,10.912450338748068
1,1942-05-01,131.72753110194265,12.67363842739265
1,1942-06-01,108.56086899385876,18.73864312260263
1,1942-07-01,35.86986008724013,23.591901870930034
1,1942-08-01,44.43291758436302,22.337481847018996
1,1942-09-01,78.56194692637449,15.000533472282118
1,1942-10-01,19.64974508524149,10.566170529235562
1,1942-11-01,9.885074923636362,3.205007343157761
1,1942-12-01,4.637985072794589,-1.7023744227124895
1,1943-01-01,6.033910978720375,-5.4080378553107025
1,1943-02-01,4.305983137319776,1.321528676916587
1,1943-03-01,21.984818079671314,-1.3986530919150475
1,1943-04-01,52.91880784312901,11.064317631266661
1,1943-05-01,46.343227287864,12.226289486799384
1,1943-06-01,96.87936944305031,19.252839719388962
1,1943-07-01,59.62748135616028,24.3467058783445
1,1943-08-01,48.36658527563031,24.27849878380237
1,1943-09-01,22.23141029008297,16.23380198648763
